entity_type,entity_value,id_articles_nite,score
LOC,Jefferson City,5,0.9962
ORG,Nite,5,0.5581
ORG,Ers,5,0.4965
PER,Ollie,5,0.9993
ORG,Chiefs,5,0.9966
PER,Ollie,5,0.9992
ORG,Chiefs,5,0.9956
ORG,Chiefs,5,0.9963
ORG,Green Bay Packers,5,0.9972
MISC,Super Bowl,5,0.9989
PER,Otis Taylor,5,0.9998
ORG,Chiefs,5,0.9974
ORG,Chiefs,5,0.9981
ORG,Chiefs,5,0.9983
LOC,Missouri,5,0.9917
PER,Priest,5,0.8231
PER,Jim,6,0.9994
PER,"Grand Dad"" Nunnelly",6,0.9359
ORG,Kansas City Chiefs,6,0.9991
ORG,Baltimore Ravens,6,0.9983
ORG,Kmbc Tv,6,0.8909
PER,Ike Gardner,6,0.9998
PER,Paul Booker,6,0.9999
ORG,Chiefs,6,0.712
PER,Carl Clark,6,0.9998
PER,Ollie Hubbard,6,0.9998
PER,Bubba Cleaver,6,0.9996
PER,Ike,6,0.9966
ORG,Chiefs,6,0.9975
ORG,Chiefs,6,0.9973
ORG,Chiefs,6,0.9981
PER,Ike,6,0.9993
PER,Lura Anderson,6,0.9994
PER,Ike,6,0.9996
PER,Ike,6,0.9994
PER,Ike,6,0.9978
LOC,Louis,6,0.993
PER,Charles,6,0.9997
PER,Carl,6,0.9995
PER,Ike,6,0.9976
PER,Ike,6,0.9967
PER,Ike,6,0.9989
ORG,Chiefs,6,0.9985
ORG,Kansas City Chiefs,7,0.9978
ORG,San Diego Chargers,7,0.9504
ORG,Kcmo,7,0.962
ORG,Chiefs,7,0.9986
PER,Gunther,7,0.9985
MISC,Nfl,7,0.8315
PER,Carl Clark,7,0.9962
PER,Gun(Ther,7,0.9948
ORG,Chiefs,7,0.9985
MISC,Super Bowl Champions,7,0.9045
ORG,Louis Rams,7,0.988
ORG,Chiefs,7,0.9978
PER,Marty Ball,7,0.902
ORG,Buffalo,7,0.9301
PER,Grbac,7,0.9994
PER,Jimmie Raye,7,0.9997
ORG,Chiefs,7,0.9982
ORG,Chiefs,7,0.9972
PER,Chess,7,0.5781
PER,Marylyn,7,0.9998
PER,Carl Clark,7,0.9998
ORG,Michigan-Ohio State,7,0.9291
LOC,Columbus,7,0.9984
LOC,Ohio,7,0.9996
PER,Shawn Edwards,7,0.9998
ORG,Hot 103,7,0.918
ORG,Generation,7,0.5727
MISC,Rap,7,0.5703
ORG,Fox 4,7,0.9756
ORG,Rap,7,0.6013
ORG,Kauffman Foundation,7,0.9954
LOC,Jackson County,7,0.9
PER,Jim,8,0.9993
PER,"Grand Dad"" Nunnelly",8,0.9211
ORG,Detroit Lions,8,0.9991
ORG,Kansas City Chiefs,8,0.9945
ORG,Wdaf,8,0.9778
ORG,Chiefs,8,0.9922
ORG,Denver Broncos,8,0.9963
ORG,Chiefs,8,0.9982
PER,Charles Allen,8,0.9985
ORG,Chiefs,8,0.9976
LOC,Denver,8,0.9927
ORG,Broncos,8,0.9972
ORG,Chiefs,8,0.9987
ORG,Chiefs,8,0.9983
ORG,Chiefs,8,0.9985
ORG,Denver,8,0.9689
ORG,Minnesota,8,0.968
ORG,Cincinnati,8,0.9817
PER,Priest,8,0.933
PER,Bubba,8,0.9869
PER,Ike,8,0.9972
ORG,Chiefs,8,0.9989
MISC,Afc West,8,0.9916
ORG,Detroit Lions,8,0.9991
ORG,Monday Nite,9,0.7338
ORG,Ers,9,0.6031
PER,Jim,9,0.9994
PER,Grand Dad,9,0.9857
PER,Nunnelly,9,0.9662
ORG,Kansas City Chiefs,9,0.999
ORG,Buffalo Bills,9,0.9966
ORG,Espn,9,0.9613
PER,Emanuel Cleaver,9,0.9993
PER,Bubba,9,0.9948
PER,Bubba,9,0.984
PER,Rev,9,0.7467
PER,Mayor,9,0.928
PER,Cleaver,9,0.9988
PER,Brother,9,0.9839
LOC,Texas,9,0.9984
PER,Bubba,9,0.9945
LOC,Kansas City,9,0.9951
PER,Cleaver,9,0.9987
ORG,Chiefs,9,0.7764
ORG,Monday,9,0.7091
PER,Cleaver,9,0.9988
MISC,All-Star,9,0.9776
PER,Cleaver,9,0.9979
PER,Cleaver,9,0.9982
ORG,Monday Niters,9,0.5625
PER,Cleaver,9,0.9985
ORG,Monday Nite Football,9,0.7545
ORG,Monday,9,0.7001
PER,Cleaver,9,0.9984
PER,Jim,10,0.9997
PER,Grand Dad,10,0.9675
PER,Nunnelly,10,0.9709
ORG,Kansas City Chiefs,10,0.9989
ORG,Pittsburgh Steelers,10,0.9986
ORG,Kctv 5,10,0.9424
PER,Charles Allen,10,0.9997
PER,Allen,10,0.9996
PER,Charles,10,0.9996
PER,Charles,10,0.9989
ORG,Chiefs,10,0.9987
PER,Ike,10,0.9997
ORG,Chiefs,10,0.9985
MISC,Iter,10,0.5138
ORG,Chiefs,10,0.9975
ORG,Chiefs,10,0.989
PER,Derrick Thomas,10,0.9993
ORG,Chiefs,10,0.9889
MISC,All,10,0.965
MISC,Pro,10,0.9667
ORG,Seattle,10,0.668
PER,David Krieg,10,0.9997
LOC,Arrowhead,10,0.993
PER,Robert,10,0.9999
PER,Von Holliday,10,0.9996
ORG,Chiefs,10,0.9967
LOC,Kansas,10,0.5253
ORG,City,10,0.7324
MISC,Super Bowl,10,0.9963
PER,Charles,10,0.9988
PER,Charles,10,0.9988
PER,Jim,11,0.9992
PER,Grand Dad,11,0.9813
PER,Nunnelly,11,0.9993
ORG,Kansas City Chiefs,11,0.9993
ORG,Tennessee Titans,11,0.9975
MISC,African,11,0.9995
MISC,African,11,0.9998
ORG,Chiefs,11,0.9975
MISC,African,11,0.9998
ORG,Chiefs,11,0.9938
PER,Lamar Hunt,11,0.9996
MISC,Super Bowl,11,0.9988
ORG,Chiefs,11,0.9989
MISC,Super Bowl,11,0.9952
MISC,African,11,0.9998
ORG,Monday Nite,12,0.6692
ORG,Ers,12,0.594
PER,Jim “Grand Dad,12,0.792
PER,Nunnely,12,0.9764
ORG,Kansas City Chiefs,12,0.999
ORG,Denver Broncos,12,0.997
ORG,Kctv 5,12,0.945
PER,Otis Taylor,12,0.9991
ORG,Chiefs,12,0.9992
ORG,Chiefs,12,0.9991
PER,Ike,12,0.9976
ORG,Chiefs,12,0.9987
PER,Ike,12,0.9979
PER,Ike,12,0.9926
MISC,Iter,12,0.5401
PER,Lewis Walter Livingston,12,0.9997
PER,Paul Booker,12,0.9998
PER,Ike Gardner,12,0.9998
PER,Ollie Hubbard,12,0.9997
PER,Uncle Walt,12,0.819
ORG,Niles Home For Children,12,0.9212
PER,Walt,12,0.9991
ORG,Monday Night,12,0.7161
ORG,Ers,12,0.7311
PER,Walt,12,0.9989
LOC,Kansas City,12,0.9954
PER,Jim,13,0.9996
PER,Grand Dad,13,0.9813
PER,Nunnelly,13,0.9345
ORG,San Diego Chargers,13,0.9985
ORG,Kansas City Chiefs Kcmo,13,0.954
ORG,Chiefs,13,0.9984
PER,Cunningham,13,0.9998
PER,Grbac,13,0.9998
PER,Schottenheimer,13,0.9997
PER,Jimmy Raye,13,0.9997
PER,Carl Clark,13,0.9997
ORG,Chiefs,13,0.999
ORG,Chargers,13,0.9991
PER,Ollie Hubbard,13,0.9995
ORG,Chargers,13,0.9988
ORG,Chiefs,13,0.9989
ORG,Chiefs,13,0.9987
PER,Ike Gardner,13,0.9997
ORG,Chiefs,13,0.9986
PER,God,13,0.9623
ORG,Chiefs,13,0.9989
ORG,Chiefs,13,0.9987
PER,Derrick Thomas,13,0.9997
PER,Cunningham,13,0.9998
PER,Grbac,13,0.9997
ORG,Northeast Middle Scholars,13,0.9623
ORG,Northeast Middle,13,0.9742
ORG,Combat,13,0.9938
ORG,Arc,13,0.998
ORG,Kansas City School,13,0.8361
ORG,Smart Partners,13,0.9353
LOC,Northeast,13,0.8177
ORG,Nia,13,0.9636
PER,Earl Abel,13,0.9995
PER,Earl Abel,13,0.9996
PER,Abel,13,0.9994
LOC,Palestine,13,0.9876
PER,Abel,13,0.9994
ORG,Dallas Cowboys,13,0.9993
ORG,Washington Redskins Kmbc,13,0.9956
ORG,Monday,14,0.4245
PER,Jim,14,0.9995
PER,"Grand Dad"" Nunnelly",14,0.9816
ORG,Kansas City Chiefs,14,0.9986
ORG,Oakland Raiders,14,0.9938
ORG,Kcmo,14,0.9687
ORG,Chiefs,14,0.999
ORG,Louis,14,0.9726
PER,Grbac,14,0.9997
PER,Alex-Ander,14,0.9987
PER,Gonzales,14,0.9989
PER,Morris,14,0.9997
ORG,Chiefs,14,0.9973
PER,Ed West,14,0.9985
PER,Ed West,14,0.9983
MISC,Nfl,14,0.9366
ORG,Kansas City Chiefs,14,0.9979
ORG,Oakland Raiders,14,0.999
PER,Rich Gannon,14,0.9995
ORG,Sports Illustrated,14,0.9983
ORG,Raiders,14,0.9991
PER,Grbac,14,0.9997
MISC,Afc,14,0.9711
PER,Alexander,14,0.9991
PER,Ike,14,0.9987
PER,Paul,14,0.9956
PER,Ollie,14,0.9978
ORG,Raiders,14,0.999
ORG,Chiefs,14,0.9992
ORG,Oakland Raiders,14,0.9992
ORG,Kansas City Chiefs,14,0.998
ORG,Chiefs,14,0.9985
PER,Jim,15,0.9993
PER,Grand Dad,15,0.9679
PER,Nunnelly,15,0.9992
ORG,Kansas City Chiefs,15,0.9982
ORG,San Francisco 49Ers,15,0.9936
ORG,Kctv 5,15,0.8695
PER,Chuck,15,0.6536
ORG,Corner,15,0.4276
ORG,Green Bay,15,0.9847
LOC,Philadelphia,15,0.5237
ORG,Pack,15,0.9953
ORG,Eagles,15,0.9956
ORG,Philadelphia Detroit,15,0.7973
ORG,St Louis,15,0.6745
ORG,Rams,15,0.9929
ORG,Lions,15,0.9958
ORG,St. Louis Indianapolis,15,0.7385
ORG,Y. Jets,15,0.7725
ORG,Jets,15,0.9759
ORG,Buffalo,15,0.5099
ORG,Miami,15,0.9889
LOC,Houston,15,0.6591
ORG,Texans,15,0.9869
ORG,Miami Dallas,15,0.8339
LOC,Tennessee,15,0.8984
LOC,Tennessee,15,0.777
ORG,Miami Cleveland,15,0.9204
ORG,Oakland,15,0.961
ORG,Oakland,15,0.9869
ORG,Cleveland New England,15,0.9696
ORG,Cincinnati,15,0.6597
ORG,Bengals,15,0.9875
ORG,Cincinnati Seattle,15,0.9386
LOC,Chicago,15,0.8754
LOC,Chicago,15,0.5223
ORG,New Orleans,15,0.9736
LOC,Carolina,15,0.742
ORG,Carolina,15,0.657
ORG,Saints,15,0.978
ORG,Carolina Minnesota,15,0.8255
ORG,Buffalo,15,0.5358
ORG,Minnesota,15,0.6892
ORG,Minnesota San Diego,15,0.8925
LOC,Baltimore,15,0.9166
ORG,Ravens,15,0.9962
ORG,San Diego San Francisco,15,0.9801
LOC,Kansas City,15,0.9126
ORG,Kansas City,15,0.589
ORG,Pittsburgh,15,0.9508
ORG,Denver,15,0.9406
ORG,Giants,15,0.9812
ORG,Tampa,15,0.8591
PER,Chuck James,15,0.9939
PER,Jim,16,0.9996
PER,Grand Dad,16,0.979
PER,Nunnelly,16,0.9638
ORG,Cincinnati Bengals,16,0.9986
ORG,Kansas City Chiefs,16,0.9923
ORG,Kctv-5,16,0.9222
ORG,Kansas City Chiefs,16,0.9915
PER,Hank Stram,16,0.9998
MISC,Hall Of Fame,16,0.7863
ORG,Chiefs,16,0.9953
PER,Buck Buchanan,16,0.9997
PER,Willie Lanier,16,0.9996
PER,Otis Taylor,16,0.9998
ORG,Chiefs,16,0.9915
PER,Barbara Hill,16,0.9986
MISC,Nfl,16,0.9768
PER,Trent Green,16,0.9997
MISC,Super Bowl,16,0.9978
ORG,Chiefs,16,0.9986
ORG,Minnesota,16,0.9925
PER,Otis Taylor,16,0.9998
MISC,American Football Conference,16,0.698
MISC,National Football League,16,0.8754
LOC,Tennessee,16,0.8654
LOC,Indianapolis,16,0.8814
LOC,Denver,16,0.8731
LOC,New England,16,0.8859
LOC,Miami,16,0.8805
ORG,Monday Nite Footballers,17,0.8075
PER,Jim,17,0.7935
PER,Grand Dad,17,0.9962
PER,Nunnelly,17,0.9997
ORG,Kansas City Chiefs,17,0.9991
ORG,Cleveland Browns,17,0.9978
ORG,Kctv-5,17,0.9395
PER,Ike Gardner James Nunnelly,17,0.9996
LOC,Palestine Missionary Baptist,17,0.6645
ORG,Combat,17,0.9601
MISC,Generation Rap,17,0.6068
PER,Zel,17,0.9997
PER,Duna,17,0.9991
PER,Cool Rae,17,0.9981
PER,Nunnelly Boys,17,0.8738
ORG,Monday Nite Footballers,17,0.8942
PER,Commissioner,17,0.8925
MISC,Monday Night Football,17,0.5502
PER,Nun,17,0.9992
PER,Jim,17,0.997
MISC,Generation Rap,17,0.7403
PER,Grand Dad,17,0.951
PER,Sandra Hubbard,17,0.9998
LOC,Columbia,17,0.9792
LOC,Mo,17,0.9901
PER,Doodle Bug,17,0.995
LOC,Jackson County Courthouse,17,0.5704
PER,Doodle Bug,17,0.9906
PER,Jim,18,0.9989
PER,Grand Dad,18,0.9392
PER,Nunnelly,18,0.9993
ORG,Chiefs,18,0.999
ORG,Mizzou Tigers,18,0.9977
MISC,Super Bowl,18,0.998
PER,Jim Nunnelly,18,0.9991
MISC,Afc/Nfc,18,0.9985
ORG,New Orleans,18,0.601
MISC,Chica- Go,18,0.9373
ORG,Bears,18,0.9779
ORG,Saints,18,0.9954
LOC,Chicago,18,0.644
MISC,Nfc,18,0.9986
ORG,New England,18,0.6813
ORG,Patriots,18,0.9973
ORG,Naptown Colts,18,0.9939
MISC,Super Bowl,18,0.9978
PER,Derrick Parker,18,0.9997
ORG,Seven Oaks,18,0.9748
PER,Tony Dungy,18,0.9996
PER,Lovie Smith,18,0.9993
LOC,Miami,18,0.9933
PER,Prince,18,0.9942
ORG,Colts,18,0.9964
ORG,Bears,18,0.9969
PER,"Martin Luther King, Jr",18,0.9974
PER,Brady,18,0.9965
ORG,Colts,18,0.9916
LOC,Indianapolis,18,0.998
ORG,Indianapolis Colts,18,0.9953
LOC,Indianapolis,18,0.571
MISC,Afc,18,0.9987
ORG,New England,18,0.5765
PER,Tony Dungy,18,0.9997
PER,Grossman,18,0.9998
PER,Bart Starr,18,0.9997
LOC,Chicago,18,0.9972
ORG,Seattle Seahawks,18,0.9801
ORG,Bears,18,0.9981
PER,Rex Grossman,18,0.9998
ORG,Bears,18,0.9978
PER,Lovie Smith,18,0.9986
PER,Grossman,18,0.9992
PER,Grossman,18,0.9991
ORG,Saints,18,0.9913
PER,Grossman,18,0.9992
LOC,New Orleans,18,0.9724
MISC,Nfc,18,0.9966
MISC,Super Bowl,18,0.9984
PER,Grossman,18,0.9997
PER,Chuck,18,0.7582
PER,Manning,18,0.9982
ORG,New England,18,0.6214
LOC,Dome,18,0.9877
LOC,New Orleans,18,0.6871
LOC,Chicago,18,0.9984
ORG,Bears,18,0.9954
PER,Chuck James,18,0.9487
ORG,New Orleans,18,0.7285
LOC,Chicago,18,0.9986
ORG,Saints,18,0.9828
PER,Grossman,18,0.9994
PER,Mcallister,18,0.9994
LOC,Chicago,18,0.9804
ORG,New England,18,0.8975
LOC,Indianapolis,18,0.9956
ORG,Colts,18,0.9911
PER,Manning,18,0.9974
ORG,New England,18,0.541
LOC,New England,18,0.6525
PER,"Jim ""Grand Dad"" Nunnelly",19,0.8966
ORG,Kansas City,19,0.9333
LOC,Denver,19,0.9906
PER,Theodore Leathers,19,0.9998
ORG,Denver,19,0.9643
PER,Adge Williams,19,0.9998
ORG,Chiefs,19,0.9981
PER,Frank Goodwin,19,0.9998
ORG,Chiefs,19,0.9981
PER,Herschel Clark,19,0.9997
ORG,Denver,19,0.9773
PER,Petey Stamps,19,0.9998
ORG,Chiefs,19,0.998
LOC,Mile-High Stadium,19,0.9922
LOC,Denver,19,0.9937
ORG,Chiefs,19,0.9948
MISC,Afc West Division Champions,19,0.963
LOC,Las Vegas,19,0.9969
ORG,Denver,19,0.9022
ORG,Chiefs,19,0.9967
PER,Ike,19,0.9993
PER,Bubba,19,0.9976
PER,Ike,19,0.9993
ORG,Chiefs,19,0.9975
LOC,Denver,19,0.9772
ORG,Chiefs,19,0.997
MISC,Nfl,19,0.8587
PER,Ike,19,0.999
ORG,Chiefs,19,0.9962
PER,Ike,19,0.9972
PER,Bubba,19,0.9931
LOC,Las Vegas,19,0.9968
ORG,Chiefs,19,0.9931
PER,Clinton Portis,19,0.9997
ORG,Y Defense,19,0.5234
ORG,Denver,19,0.6449
LOC,Mile-High Stadium,19,0.9947
LOC,Arrowhead,19,0.9946
PER,Dante Hall,19,0.9996
MISC,Red,19,0.5784
ORG,Chiefs,19,0.9953
ORG,Chiefs,19,0.9956
MISC,Afc West,19,0.9978
ORG,Chiefs,19,0.9949
PER,Jim,20,0.9994
PER,"Grand Dad"" Nunnelly",20,0.9554
ORG,Kansas City Chiefs,20,0.999
ORG,Oakland Raiders,20,0.9989
ORG,Kctv-5,20,0.9292
ORG,Ers,20,0.4619
ORG,Kiwanis/Harvester,20,0.9557
ORG,Chiefs,20,0.9991
ORG,Cincinnati,20,0.9873
PER,Trent Green,20,0.9995
ORG,Cincinnati,20,0.807
ORG,Bengals,20,0.9962
MISC,African American,20,0.996
PER,Marvin Lewis,20,0.9996
MISC,Nfl,20,0.9474
PER,Lewis,20,0.9995
ORG,Cincinnati,20,0.8803
MISC,Nfl,20,0.8975
ORG,Kansas City,20,0.7717
PER,Marvin Lewis,20,0.9998
MISC,Xmas,21,0.7264
PER,Jim,21,0.9998
PER,Grand Dad,21,0.9901
PER,Nunnelly,21,0.9997
ORG,Kansas City Chiefs,21,0.999
ORG,Oakland Raiders,21,0.9984
ORG,Kctv 5,21,0.8442
ORG,Kansas City Chiefs,21,0.9939
MISC,Nfl,21,0.9554
ORG,Niters,21,0.5341
LOC,Kansas City,21,0.9614
MISC,New Year,21,0.6547
PER,Paul Booker,21,0.9999
PER,Charles Allen,21,0.9998
PER,Jim Nunnelly,21,0.9998
PER,Ike Gardner,21,0.9999
PER,Lloyd Greenfield,21,0.9998
PER,Carl Clark,21,0.9999
PER,Bubba Cleaver,21,0.9998
PER,Ollie Hubbard,21,0.9998
PER,Ed West,21,0.9998
PER,Rex Purefoy Charles Allen,21,0.9993
ORG,Chiefs,21,0.9987
PER,Paul Booker,21,0.9999
ORG,Chiefs,21,0.999
PER,Larry,21,0.9998
PER,Carl Clark,21,0.9999
ORG,Chiefs,21,0.9986
ORG,Chiefs,21,0.9975
LOC,Black Hole,21,0.6159
PER,Bubba Cleaver,21,0.9998
ORG,Chiefs,21,0.9989
PER,Ike Gardner,21,0.9998
ORG,Chiefs,21,0.9983
PER,Stevie Wonder,21,0.9996
PER,Ray Charles,21,0.9996
ORG,Lloyd Chiefs,21,0.9975
PER,Greenfield Ollie Hubbard,21,0.999
ORG,Raiders,21,0.9981
ORG,Raiders,21,0.9917
PER,Jim Nunnelly,21,0.9996
ORG,Chiefs,21,0.9989
PER,Johnson,21,0.9998
PER,Vermeil,21,0.9993
PER,Ed West,21,0.9997
ORG,Raiders,21,0.9982
MISC,Nfl,21,0.9198
ORG,Chiefs,21,0.9988
PER,Vermeil,21,0.9993
PER,Vermeil,21,0.9994
PER,Larry Johnson,21,0.9998
PER,Priest Holmes,21,0.9997
PER,Vermeil,21,0.9993
PER,Johnson,21,0.9997
PER,Johnson,21,0.9997
PER,Johnson,21,0.9996
PER,Verme,21,0.9995
PER,Jim,22,0.9996
PER,"Grand Dad"" Nunnely",22,0.9153
ORG,Kansas City Chiefs,22,0.9991
ORG,Denver Broncos,22,0.9971
ORG,Kctv 5,22,0.9524
PER,Tony Dungy,22,0.9996
ORG,Ebony,22,0.9945
MISC,Nfl,22,0.9458
ORG,Colts,22,0.9975
PER,Dungy,22,0.9997
MISC,Naacp Image Award,22,0.9989
PER,Luther,22,0.9993
PER,Eddie,22,0.9987
PER,Larry,22,0.9991
PER,Dante,22,0.9963
PER,Ollie Hubbard,22,0.9995
PER,Ollie,22,0.9995
PER,Sandra,22,0.9996
PER,Ike,22,0.9996
ORG,Chiefs,22,0.9989
ORG,Denver,22,0.9058
LOC,Arrowhead,22,0.991
PER,Ike,22,0.9996
PER,Booker,22,0.9996
PER,Carl,22,0.9995
PER,Ollie,22,0.9995
ORG,Denver,22,0.9797
ORG,Chiefs,22,0.9989
PER,Greenfield,22,0.9986
PER,Allen,22,0.9993
ORG,Chiefs,22,0.9989
PER,Dante Hall,22,0.9992
LOC,Arrowhead,22,0.99
ORG,Broncos,22,0.9977
PER,Dante,22,0.9989
MISC,Bronco,22,0.6417
PER,Eddie Kennison,22,0.9998
PER,Larry Johnson,22,0.9998
MISC,Afc,22,0.9624
ORG,Chiefs,22,0.9991
ORG,Chiefs,22,0.9991
PER,Jim “Grand Dad,23,0.8373
PER,Nunnelly,23,0.9693
ORG,Kansas City Chiefs,23,0.9992
ORG,Oakland Raiders,23,0.9987
ORG,Espn,23,0.9873
PER,Carl Clark,23,0.9998
PER,Carl,23,0.9997
PER,Mary Lynn,23,0.9991
PER,Carl,23,0.9998
LOC,Heaven,23,0.7169
PER,Ike Gardner,23,0.9998
ORG,Raiders,23,0.9992
ORG,Chiefs,23,0.9991
PER,Paul Booker,23,0.9998
ORG,Chiefs,23,0.9988
LOC,Death,23,0.8479
LOC,Oakland Coliseum,23,0.9855
PER,Trent Green,23,0.9998
PER,Larry Johnson,23,0.9998
PER,Priest Holmes,23,0.9995
ORG,Oakland,23,0.6578
ORG,Chiefs,23,0.9972
PER,Derrick Johnson,23,0.9997
ORG,Oakland,23,0.9624
ORG,Chiefs,23,0.9991
MISC,Afc Division,23,0.9958
ORG,Chiefs,23,0.9989
ORG,Chiefs,23,0.9986
LOC,West Coast,23,0.9508
PER,Ike,23,0.9993
PER,Booker,23,0.9995
PER,Jim,24,0.9993
PER,Grand Dad,24,0.9876
PER,Nunnelly,24,0.9992
ORG,Kansas City Chiefs,24,0.9992
ORG,Dallas Cowboys,24,0.9989
ORG,Kctv 5,24,0.9611
ORG,Chiefs,24,0.9866
ORG,Chiefs,24,0.9975
PER,Cantankerous Ike,24,0.9894
PER,That Booker,24,0.9925
ORG,Chiefs,24,0.9976
ORG,Chiefs,24,0.9963
